FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,LATITUD,LONGITUD
01/08/2015 12:00:00 AM,2015,1,Jue,09:10:00:PM,Con heridos,Choque,CRA 21 CLLE 41,1.0,0.0,1,10.9611545,-74.7917569
01/08/2015 12:00:00 AM,2015,1,Jue,11:00:00:PM,Solo daños,Choque,CLLE 72 CRA 38,0.0,0.0,1,10.9853698,-74.81122640000002
01/08/2015 12:00:00 AM,2015,1,Jue,11:10:00:AM,Con heridos,Choque,CLLE 110 CRA 31,1.0,0.0,1,10.978325300000002,-74.8361819
01/08/2015 12:00:00 AM,2015,1,Jue,11:30:00:AM,Solo daños,Choque,CLLE 72 CRA 58,0.0,0.0,1,11.0012782,-74.7985432
01/09/2015 12:00:00 AM,2015,1,Vie,03:10:00:PM,Solo daños,Choque,CARRERA 53 CALLE 61 109,0.0,0.0,1,10.9943522,-74.79479029999997
01/09/2015 12:00:00 AM,2015,1,Vie,04:50:00:PM,Solo daños,Choque,CR 53 82 253,0.0,0.0,1,11.006965199999998,-74.81470689999998
01/09/2015 12:00:00 AM,2015,1,Vie,05:40:00:PM,Solo daños,Choque,CRA 50 CLLE 80,0.0,0.0,1,11.0017022,-74.81262459999998
01/09/2015 12:00:00 AM,2015,1,Vie,06:00:00:PM,Solo daños,Choque,CLLE 30 CRA 46,0.0,0.0,1,10.9854607,-74.776012
01/09/2015 12:00:00 AM,2015,1,Vie,06:10:00:PM,Solo daños,Choque,CLLE 92 CRA 40A,0.0,0.0,1,11.009298,-74.82363690000003
01/09/2015 12:00:00 AM,2015,1,Vie,06:20:00:PM,Solo daños,Choque,CLLE 17 CRA 33,0.0,0.0,1,10.9703073,-74.7743478
01/09/2015 12:00:00 AM,2015,1,Vie,07:52:00:AM,Solo daños,Choque,CALLE 17 CR 22,0.0,0.0,1,10.9595659,-74.77471949999997
01/09/2015 12:00:00 AM,2015,1,Vie,08:50:00:AM,Solo daños,Choque,CLLE 45 CRA 8D,0.0,0.0,1,10.9483105,-74.79992879999998
01/09/2015 12:00:00 AM,2015,1,Vie,09:00:00:AM,Solo daños,Choque,CLLE 82 CRA 53,0.0,0.0,1,11.0061612,-74.81332689999998
01/09/2015 12:00:00 AM,2015,1,Vie,10:15:00:AM,Solo daños,Choque,CLLE 35 CRA 33,0.0,0.0,1,10.9725786,-74.78171259999998
01/09/2015 12:00:00 AM,2015,1,Vie,11:00:00:AM,Solo daños,Choque,CLLE 106 CRA 50,0.0,0.0,1,11.0132094,-74.83650949999998
01/09/2015 12:00:00 AM,2015,1,Vie,11:25:00:AM,Solo daños,Choque,CONCENTRADOS DEL NORTE UBICADO EN LA CRA 42 CL 7,0.0,0.0,1,10.9791081,-74.7696478
01/10/2015 12:00:00 AM,2015,1,Sáb,01:00:00:PM,Con heridos,Choque,CL 110 CR 13,2.0,0.0,1,10.9683261,-74.83805140000003
01/10/2015 12:00:00 AM,2015,1,Sáb,01:40:00:PM,Solo daños,Choque,CRA 4 CLLE 35,0.0,0.0,1,10.939227699999998,-74.7891386
01/10/2015 12:00:00 AM,2015,1,Sáb,02:10:00:PM,Solo daños,Choque,CLLE 98 CRA 59B,0.0,0.0,1,11.0181679,-74.8232252
01/10/2015 12:00:00 AM,2015,1,Sáb,03:10:00:PM,Solo daños,Choque,CRA 42F CLLE 79,0.0,0.0,1,10.994006,-74.8144662
01/10/2015 12:00:00 AM,2015,1,Sáb,04:10:00:AM,Con heridos,Atropello,AV CIRCUNVALAR CALLE 47B,2.0,0.0,1,10.9411714,-74.8338443
01/10/2015 12:00:00 AM,2015,1,Sáb,04:14:00:PM,Solo daños,Choque,CLLE 45B CRA 13C,0.0,0.0,1,10.9540335,-74.79767330000001
01/10/2015 12:00:00 AM,2015,1,Sáb,04:40:00:PM,Solo daños,Choque,CALLE 63B CR 28,0.0,0.0,1,10.976334199999998,-74.80449770000001
01/10/2015 12:00:00 AM,2015,1,Sáb,05:00:00:AM,Con heridos,Choque,CALLE 49 1A 41,2.0,0.0,1,10.9314495,-74.8093145
01/10/2015 12:00:00 AM,2015,1,Sáb,08:00:00:AM,Solo daños,Choque,CLLE 30 CRA 6B,0.0,0.0,1,10.9433844,-74.78383659999999
01/10/2015 12:00:00 AM,2015,1,Sáb,08:30:00:AM,Con heridos,Atropello,AVENIDA 47 CLLE 60,1.0,0.0,1,11.004107199999998,-74.80698129999998
01/10/2015 12:00:00 AM,2015,1,Sáb,09:10:00:AM,Solo daños,Choque,CRA 45 CLLE 84,0.0,0.0,1,11.000748800000002,-74.819319
01/10/2015 12:00:00 AM,2015,1,Sáb,10:50:00:AM,Solo daños,Choque,CRA 38 CLLE 54,0.0,0.0,1,10.9816451,-74.79441059999998
01/10/2015 12:00:00 AM,2015,1,Sáb,12:10:00:PM,Solo daños,Choque,AV CIRCUNVALAR CR 46,0.0,0.0,1,11.0004774,-74.84121479999997
01/10/2015 12:00:00 AM,2015,1,Sáb,12:30:00:PM,Solo daños,Choque,CRA 27 CLLE 39,0.0,0.0,1,10.9680023,-74.7862361
01/10/2015 12:00:00 AM,2015,1,Sáb,12:30:00:PM,Solo daños,Choque,VIA 40 CALLE 68B,0.0,0.0,1,11.0215868,-74.79971450000002
01/11/2015 12:00:00 AM,2015,1,Dom,02:00:00:PM,Solo daños,Choque,AVENIDA DEL RIO KM 1 + 100,0.0,0.0,1,10.997068400000002,-74.77051379999997
01/11/2015 12:00:00 AM,2015,1,Dom,02:30:00:PM,Solo daños,Choque,CALLE 17 CR 8,0.0,0.0,1,10.948341,-74.77345809999998
01/11/2015 12:00:00 AM,2015,1,Dom,02:30:00:PM,Solo daños,Choque,CR 42 CALLE 99A,0.0,0.0,1,10.9799377,-74.7736255
01/11/2015 12:00:00 AM,2015,1,Dom,04:00:00:PM,Solo daños,Choque,CRA 31 CLLE 69C,0.0,0.0,1,10.980664,-74.80756190000002
01/11/2015 12:00:00 AM,2015,1,Dom,07:30:00:AM,Solo daños,Choque,CALLE 45 MURILLO CON 1,0.0,0.0,1,10.9303573,-74.7989715
01/11/2015 12:00:00 AM,2015,1,Dom,09:00:00:AM,Solo daños,Choque,CRA 50 CLLE 43,0.0,0.0,1,10.9893062,-74.7827099
01/11/2015 12:00:00 AM,2015,1,Dom,10:00:00:PM,Solo daños,Choque,CRA 51B CLLE 100,0.0,0.0,1,11.0119752,-74.83202589999998
01/11/2015 12:00:00 AM,2015,1,Dom,10:15:00:PM,Con heridos,Choque,CR 38 CL 54,2.0,0.0,1,10.9816451,-74.79441059999998
01/11/2015 12:00:00 AM,2015,1,Dom,11:00:00:AM,Solo daños,Choque,AV CIRCUNVALAR CR 26,0.0,0.0,1,10.9716268,-74.8371453
01/11/2015 12:00:00 AM,2015,1,Dom,12:00:00:PM,Solo daños,Choque,CRA 38 CLLE 80,0.0,0.0,1,10.9869768,-74.8200444
01/12/2015 12:00:00 AM,2015,1,Lun,02:00:00:PM,Con heridos,Choque,CR 8G CL 50A,1.0,0.0,1,10.9495835,-74.8065737
01/12/2015 12:00:00 AM,2015,1,Lun,03:30:00:PM,Con heridos,Choque,CALLE 47 CRA 9,4.0,0.0,1,10.926617599999998,-74.805047
01/12/2015 12:00:00 AM,2015,1,Lun,04:00:00:AM,Solo daños,Choque,CA 38 CLLE 56,0.0,0.0,1,10.982106800000002,-74.79551719999998
01/12/2015 12:00:00 AM,2015,1,Lun,04:10:00:PM,Solo daños,Choque,CLLE 49 CRA 2C,0.0,0.0,1,10.933914,-74.8059172
01/12/2015 12:00:00 AM,2015,1,Lun,05:00:00:PM,Solo daños,Choque,CLLE 71 CRA 41,0.0,0.0,1,10.9889231,-74.8076945
01/12/2015 12:00:00 AM,2015,1,Lun,05:40:00:PM,Solo daños,Choque,CALLE 82 CR 42G,0.0,0.0,1,10.996219,-74.81864870000003
01/12/2015 12:00:00 AM,2015,1,Lun,08:00:00:PM,Solo daños,Choque,CLLE 45 AVENIDA 110,0.0,0.0,1,10.9301991,-74.79897530000002
01/12/2015 12:00:00 AM,2015,1,Lun,08:10:00:PM,Solo daños,Choque,CLLE 45 CR 8A,0.0,0.0,1,10.946748,-74.7998703
01/12/2015 12:00:00 AM,2015,1,Lun,11:30:00:PM,Solo daños,Choque,AV CIRCUNVALAR CR 15 SUR,0.0,0.0,1,10.9228065,-74.81234189999998
01/12/2015 12:00:00 AM,2015,1,Lun,12:00:00:PM,Solo daños,Choque,CALLE 94 CR 52B,0.0,0.0,1,11.0112694,-74.82419519999998
01/13/2015 12:00:00 AM,2015,1,Mar,02:30:00:PM,Solo daños,Choque,VIA 40 CLLE 85B,0.0,0.0,1,11.0264395,-74.80408729999998
01/13/2015 12:00:00 AM,2015,1,Mar,05:00:00:AM,Solo daños,Choque,CLLE 73 CRA 26A,0.0,0.0,1,10.97617,-74.8131281
01/13/2015 12:00:00 AM,2015,1,Mar,07:00:00:AM,Solo daños,Choque,CALLE 4 CR 64,0.0,0.0,1,10.9459191,-74.76360869999998
01/13/2015 12:00:00 AM,2015,1,Mar,07:00:00:AM,Solo daños,Choque,CALLE 94 CR 65,0.0,0.0,1,11.0187009,-74.817903
01/13/2015 12:00:00 AM,2015,1,Mar,07:00:00:PM,Solo daños,Choque,CLLE 30 CRA 27,0.0,0.0,1,10.9661483,-74.782387
01/13/2015 12:00:00 AM,2015,1,Mar,07:30:00:AM,Solo daños,Choque,AV CIRCUNVALAR ENTRADA 20 DE JULIO,0.0,0.0,1,10.9411714,-74.8338443
01/13/2015 12:00:00 AM,2015,1,Mar,07:35:00:PM,Solo daños,Choque,CLLE 30 CRA 11,0.0,0.0,1,10.9481924,-74.7850811
01/13/2015 12:00:00 AM,2015,1,Mar,07:40:00:AM,Con heridos,Caida Ocupante,CR 27 CL 105,1.0,0.0,1,10.9752956,-74.83410479999998
01/13/2015 12:00:00 AM,2015,1,Mar,08:30:00:AM,Solo daños,Choque,VIA 40 CALLE 106,0.0,0.0,1,11.012229800000002,-74.79207690000001
01/13/2015 12:00:00 AM,2015,1,Mar,09:00:00:AM,Solo daños,Choque,CRA 9J DAIG 68,0.0,0.0,1,10.9601613,-74.8256495
01/13/2015 12:00:00 AM,2015,1,Mar,10:40:00:AM,Con heridos,Caida Ocupante,CALLE 74 47 68,1.0,0.0,1,10.9966491,-74.80665599999998
01/13/2015 12:00:00 AM,2015,1,Mar,11:20:00:AM,Con heridos,Atropello,CLLE 82 CRA 46,1.0,0.0,1,11.0006369,-74.8167568
01/14/2015 12:00:00 AM,2015,1,Mié,04:45:00:PM,Solo daños,Choque,CLLE 72 CRA 38,0.0,0.0,1,10.9853698,-74.81122640000002
01/14/2015 12:00:00 AM,2015,1,Mié,05:44:00:PM,Solo daños,Choque,CR 45 CL 32,0.0,0.0,1,10.9835241,-74.7765691
